County,2021,2022,2023
Bartholomew,"60,392","62,848","65,564"
Benton,"54,789","55,076","56,092"
Blackford,"44,289","45,464","46,989"
Boone,"85,997","92,439","97,028"
Brown,"58,480","59,003","61,898"
Carroll,"51,573","51,375","53,144"
Cass,"47,770","47,582","49,257"
Clark,"52,181","53,747","56,729"
Clay,"45,080","45,445","47,328"
Clinton,"45,885","47,013","48,728"
Crawford,"41,790","42,005","44,174"
Daviess,"54,425","58,466","59,193"
Dearborn,"56,805","58,303","60,731"
Decatur,"52,658","53,573","55,366"
DeKalb,"55,175","55,408","56,870"
Delaware,"45,152","45,910","47,629"
Dubois,"63,254","65,809","68,645"
Elkhart,"56,966","58,844","58,662"
Fayette,"47,659","47,753","50,175"
Floyd,"63,200","63,496","66,690"
Fountain,"50,263","51,445","53,298"
